,role,company,location
0,Full-Stack Software Developer,Elwood Staffing,United States
1,JR. FULL STACK WEB DEVELOPER,Smoakland Delivery,"Oakland, CA"
2,Enterprise Platform Engineering Python-Developer,Wipro Limited,"Palo Alto, CA"
3,Python Scripting-Developer,Wipro Limited,"Palo Alto, CA"
4,Junior Software Engineer,FT Optimize,"Half Moon Bay, CA"
5,"Software Engineer, Web Engineering",Nuna,"San Francisco, CA"
6,Software Engineer Internship,Braintree,"San Francisco, CA 94107 (South Beach area)"
7,Full Stack - Python Developer,TechNet Inc.,"San Jose, CA"
8,Backend Developer,Progressive Telecom LLC,"Sunnyvale, CA"
9,Junior to mid-level Technical Writer/Digital Marketing/Conte...,Tetrate,"San Francisco, CA 94111 (Financial District area)"
10,Lead Software Engineer (Python/Django),Price Technologies,"San Francisco, CA 94105 (South Beach area)"
