,role,company,location
0,"Artificial Intelligence, Consultant - Applied Artificial Int...",Deloitte,"San Francisco, CA"
1,JR. FULL STACK WEB DEVELOPER,Smoakland Delivery,"Oakland, CA"
2,Enterprise Platform Engineering Python-Developer,Wipro Limited,"Palo Alto, CA"
3,Full Stack Developer Intern,CommScope,"Sunnyvale, CA 94089"
4,Python Scripting-Developer,Wipro Limited,"Palo Alto, CA"
5,Junior Software Engineer,FT Optimize,"Half Moon Bay, CA"
6,"Software Engineer, Web Engineering",Nuna,"San Francisco, CA"
7,Software Engineer Internship,Braintree,"San Francisco, CA 94107 (South Beach area)"
8,Full Stack - Python Developer,TechNet Inc.,"San Jose, CA"
9,Backend Developer,Progressive Telecom LLC,"Sunnyvale, CA"
10,Junior to mid-level Technical Writer/Digital Marketing/Conte...,Tetrate,"San Francisco, CA 94111 (Financial District area)"
